fold,candidate,family,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
rw_01,tabm_prediction,strong_base,431728,1218121.25,831223.625,841878.0625,0.012655556201934814
rw_02,tabm_prediction,strong_base,436568,1242958.625,680277.875,696766.75,0.02366483211517334
rw_03,tabm_prediction,strong_base,446055,998626.5625,577231.4375,581600.5625,0.007512271404266357
rw_04,tabm_prediction,strong_base,444118,1223775.75,866301.5625,875906.3125,0.010965526103973389
rw_05,tabm_prediction,strong_base,447216,920560.4375,494203.5,497356.84375,0.006340205669403076
rw_01,tree_prediction,strong_base,431728,1218121.25,833923.4981986292,841878.0625,0.009448594346014083
rw_02,tree_prediction,strong_base,436568,1242958.625,683076.2241894929,696766.75,0.01964864972461322
rw_03,tree_prediction,strong_base,446055,998626.5625,578475.0840446603,581600.5625,0.005373926121915784
rw_04,tree_prediction,strong_base,444118,1223775.75,871832.1771259813,875906.3125,0.004651336924825111
rw_05,tree_prediction,strong_base,447216,920560.4375,495070.974131601,497356.84375,0.004596035315738045
rw_01,xgboost_prediction,strong_base,431728,1218121.25,833839.6501353892,841878.0625,0.009548190792310618
rw_02,xgboost_prediction,strong_base,436568,1242958.625,683115.97283115,696766.75,0.019591602453546964
rw_03,xgboost_prediction,strong_base,446055,998626.5625,578576.1265190076,581600.5625,0.005200194387694368
rw_04,xgboost_prediction,strong_base,444118,1223775.75,871827.1995974554,875906.3125,0.00465701964277665
rw_05,xgboost_prediction,strong_base,447216,920560.4375,495649.1887673256,497356.84375,0.0034334603095012017
rw_01,lightgbm_prediction,strong_base,431728,1218121.25,833923.1291008003,841878.0625,0.009449032767972598
rw_02,lightgbm_prediction,strong_base,436568,1242958.625,683550.0243640665,696766.75,0.018968651468993736
rw_03,lightgbm_prediction,strong_base,446055,998626.5625,578520.962027121,581600.5625,0.005295043834967039
rw_04,lightgbm_prediction,strong_base,444118,1223775.75,871617.3220773651,875906.3125,0.004896631479219815
rw_05,lightgbm_prediction,strong_base,447216,920560.4375,495528.86709429946,497356.84375,0.0036753825320223754
rw_01,ridge_calibrated_prediction,strong_base,431728,1218121.25,837649.1117327156,841878.0625,0.005023234308691116
rw_02,ridge_calibrated_prediction,strong_base,436568,1242958.625,691019.4251912537,696766.75,0.008248563538295062
rw_03,ridge_calibrated_prediction,strong_base,446055,998626.5625,579396.4017711492,581600.5625,0.00378981877076634
rw_04,ridge_calibrated_prediction,strong_base,444118,1223775.75,873359.3407985625,875906.3125,0.002907812930549536
rw_05,ridge_calibrated_prediction,strong_base,447216,920560.4375,495325.7880883208,497356.84375,0.004083699032600641
rw_01,baseline_prediction,strong_base,431728,1218121.25,831223.6507182625,841878.0625,0.012655528462279464
rw_02,baseline_prediction,strong_base,436568,1242958.625,679582.9686777242,696766.75,0.024662171841976943
rw_03,baseline_prediction,strong_base,446055,998626.5625,577141.04020011,581600.5625,0.007667671916823604
rw_04,baseline_prediction,strong_base,444118,1223775.75,866127.5701624077,875906.3125,0.011164141870015687
rw_05,baseline_prediction,strong_base,447216,920560.4375,494215.08148119063,497356.84375,0.006316917738822925
rw_01,conservative_rls_prediction,strong_base,431728,1218121.25,830592.0037735818,841878.0625,0.013405811636074239
rw_02,conservative_rls_prediction,strong_base,436568,1242958.625,678198.3148436145,696766.75,0.02664942774089829
rw_03,conservative_rls_prediction,strong_base,446055,998626.5625,576558.4159986732,581600.5625,0.008669431954558715
rw_04,conservative_rls_prediction,strong_base,444118,1223775.75,865976.3809783069,875906.3125,0.011336750723203726
rw_05,conservative_rls_prediction,strong_base,447216,920560.4375,493580.8995448378,497356.84375,0.0075920222122451975
rw_01,aggressive_rls_prediction,strong_base,431728,1218121.25,830604.7222358165,841878.0625,0.013390704386222807
rw_02,aggressive_rls_prediction,strong_base,436568,1242958.625,677906.1033061295,696766.75,0.027068809890642087
rw_03,aggressive_rls_prediction,strong_base,446055,998626.5625,576677.6017717305,581600.5625,0.00846450475754057
rw_04,aggressive_rls_prediction,strong_base,444118,1223775.75,866207.2261465056,875906.3125,0.01107320065522921
rw_05,aggressive_rls_prediction,strong_base,447216,920560.4375,493794.40881761495,497356.84375,0.007162734316722763
rw_01,tabm_s23_aux8_tabm_prediction,strong_base,431728,1218121.25,831129.125,841878.0625,0.012767791748046875
rw_02,tabm_s23_aux8_tabm_prediction,strong_base,436568,1242958.625,682664.875,696766.75,0.02023899555206299
rw_03,tabm_s23_aux8_tabm_prediction,strong_base,446055,998626.5625,577209.6875,581600.5625,0.007549643516540527
