fold,candidate,family,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
rw_01,tabm_prediction,strong_base,2158640,6095643.0,4147925.25,4203448.0,0.013208866119384766
rw_02,tabm_prediction,strong_base,2182840,6223295.5,3338497.75,3418647.0,0.023444712162017822
rw_03,tabm_prediction,strong_base,2230272,4993164.5,2881751.25,2903734.5,0.00757068395614624
rw_04,tabm_prediction,strong_base,2220592,6119998.5,4334368.5,4382271.5,0.010931074619293213
rw_05,tabm_prediction,strong_base,2236080,4602840.0,2471188.5,2486787.5,0.006272733211517334
rw_01,tree_prediction,strong_base,2158640,6095643.0,4162701.1851498033,4203448.0,0.009693664546390646
rw_02,tree_prediction,strong_base,2182840,6223295.5,3351374.168595854,3418647.0,0.019678203512718873
rw_03,tree_prediction,strong_base,2230272,4993164.5,2887753.1093600383,2903734.5,0.005503736874001963
rw_04,tree_prediction,strong_base,2220592,6119998.5,4361593.238617026,4382271.5,0.004718617133368741
rw_05,tree_prediction,strong_base,2236080,4602840.0,2475836.1080217296,2486787.5,0.004403831038345851
rw_01,xgboost_prediction,strong_base,2158640,6095643.0,4162683.375420803,4203448.0,0.009697901479736815
rw_02,xgboost_prediction,strong_base,2182840,6223295.5,3351473.1081860904,3418647.0,0.019649262358444664
rw_03,xgboost_prediction,strong_base,2230272,4993164.5,2888275.487943123,2903734.5,0.005323837994443692
rw_04,xgboost_prediction,strong_base,2220592,6119998.5,4361710.680020495,4382271.5,0.004691817925818742
rw_05,xgboost_prediction,strong_base,2236080,4602840.0,2478492.691618691,2486787.5,0.0033355517434878745
rw_01,lightgbm_prediction,strong_base,2158640,6095643.0,4163084.739857007,4203448.0,0.009602416907023237
rw_02,lightgbm_prediction,strong_base,2182840,6223295.5,3354266.910540395,3418647.0,0.01883203777974296
rw_03,lightgbm_prediction,strong_base,2230272,4993164.5,2887745.1874600607,2903734.5,0.005506465050416742
rw_04,lightgbm_prediction,strong_base,2220592,6119998.5,4360219.414291606,4382271.5,0.005032113073869082
rw_05,lightgbm_prediction,strong_base,2236080,4602840.0,2478136.1508826907,2486787.5,0.00347892576961617
rw_01,ridge_calibrated_prediction,strong_base,2158640,6095643.0,4180947.813582447,4203448.0,0.005352792854236066
rw_02,ridge_calibrated_prediction,strong_base,2182840,6223295.5,3391272.7558540874,3418647.0,0.008007332768171893
rw_03,ridge_calibrated_prediction,strong_base,2230272,4993164.5,2892246.4564347784,2903734.5,0.003956299573952604
rw_04,ridge_calibrated_prediction,strong_base,2220592,6119998.5,4369541.547625868,4382271.5,0.002904875331008694
rw_05,ridge_calibrated_prediction,strong_base,2236080,4602840.0,2477291.5202022335,2486787.5,0.003818573077822962
rw_01,baseline_prediction,strong_base,2158640,6095643.0,4147925.1602952615,4203448.0,0.013208879877838031
rw_02,baseline_prediction,strong_base,2182840,6223295.5,3335021.9482028084,3418647.0,0.024461446823024313
rw_03,baseline_prediction,strong_base,2230272,4993164.5,2881231.5525530926,2903734.5,0.007749657362581708
rw_04,baseline_prediction,strong_base,2220592,6119998.5,4333404.538540336,4382271.5,0.011151057496018635
rw_05,baseline_prediction,strong_base,2236080,4602840.0,2471325.431479606,2486787.5,0.0062176878886491815
rw_01,conservative_rls_prediction,strong_base,2158640,6095643.0,4144907.8649204755,4203448.0,0.013926694247085813
rw_02,conservative_rls_prediction,strong_base,2182840,6223295.5,3327936.4027399025,3418647.0,0.026534063698327892
rw_03,conservative_rls_prediction,strong_base,2230272,4993164.5,2878726.20536163,2903734.5,0.008612459106839832
rw_04,conservative_rls_prediction,strong_base,2220592,6119998.5,4333386.908423297,4382271.5,0.011155080550509733
rw_05,conservative_rls_prediction,strong_base,2236080,4602840.0,2469237.755308188,2486787.5,0.007057195153108986
rw_01,aggressive_rls_prediction,strong_base,2158640,6095643.0,4144596.290822216,4203448.0,0.014000817704366564
rw_02,aggressive_rls_prediction,strong_base,2182840,6223295.5,3327208.732196631,3418647.0,0.026746917070808784
rw_03,aggressive_rls_prediction,strong_base,2230272,4993164.5,2878833.9813477094,2903734.5,0.00857534277059091
rw_04,aggressive_rls_prediction,strong_base,2220592,6119998.5,4333597.918738535,4382271.5,0.011106929650859243
rw_05,aggressive_rls_prediction,strong_base,2236080,4602840.0,2469453.201055474,2486787.5,0.0069705589820303615
rw_01,tabm_s23_aux8_tabm_prediction,strong_base,2158640,6095643.0,4147513.5,4203448.0,0.013306796550750732
rw_02,tabm_s23_aux8_tabm_prediction,strong_base,2182840,6223295.5,3350586.0,3418647.0,0.01990872621536255
rw_03,tabm_s23_aux8_tabm_prediction,strong_base,2230272,4993164.5,2881736.75,2903734.5,0.007575690746307373
rw_04,tabm_s23_aux8_tabm_prediction,strong_base,2220592,6119998.5,4333561.0,4382271.5,0.01111537218093872
rw_05,tabm_s23_aux8_tabm_prediction,strong_base,2236080,4602840.0,2469861.75,2486787.5,0.0068062543869018555
rw_01,tabm_s17_tabm_prediction,strong_base,2158640,6095643.0,4151194.0,4203448.0,0.012431204319000244
rw_02,tabm_s17_tabm_prediction,strong_base,2182840,6223295.5,3358884.75,3418647.0,0.01748126745223999
rw_03,tabm_s17_tabm_prediction,strong_base,2230272,4993164.5,2876486.25,2903734.5,0.009383857250213623
rw_04,tabm_s17_tabm_prediction,strong_base,2220592,6119998.5,4342189.5,4382271.5,0.009146392345428467
rw_05,tabm_s17_tabm_prediction,strong_base,2236080,4602840.0,2467894.25,2486787.5,0.007597446441650391
rw_01,gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,2158640,6095643.0,4144700.080069092,4203448.0,0.013976126249428567
rw_02,gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,2182840,6223295.5,3327786.606276498,3418647.0,0.026577881168632467
rw_03,gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,2230272,4993164.5,2878711.09831217,2903734.5,0.008617661734511284
rw_04,gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,2220592,6119998.5,4333270.982015536,4382271.5,0.011181534047916442
rw_05,gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,2236080,4602840.0,2469254.651153192,2486787.5,0.007050400907519516
rw_01,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,2158640,6095643.0,4144755.9288296914,4203448.0,0.013962839832991514
rw_02,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,2182840,6223295.5,3327674.970752326,3418647.0,0.026610536053495504
rw_03,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,2230272,4993164.5,2878711.360587476,2903734.5,0.008617571411065339
rw_04,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,2220592,6119998.5,4333097.887046441,4382271.5,0.011221032962827282
rw_05,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,2236080,4602840.0,2469318.087779585,2486787.5,0.00702489143942342
rw_01,gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,2158640,6095643.0,4144487.7911314894,4203448.0,0.014026629773583599
rw_02,gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,2182840,6223295.5,3327123.2428598795,3418647.0,0.026771923845930967
rw_03,gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,2230272,4993164.5,2878824.3761158,2903734.5,0.008578650659762488
rw_04,gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,2220592,6119998.5,4333521.85697743,4382271.5,0.011124286348431323
rw_05,gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,2236080,4602840.0,2469470.4354486857,2486787.5,0.0069636285976644174
rw_01,gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,2158640,6095643.0,4144856.244885141,4203448.0,0.013938974650063218
rw_02,gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,2182840,6223295.5,3327098.4875293644,3418647.0,0.02677916511141265
rw_03,gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,2230272,4993164.5,2878820.027860327,2903734.5,0.008580148129821441
rw_04,gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,2220592,6119998.5,4333370.740730316,4382271.5,0.011158769891295828
rw_05,gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,2236080,4602840.0,2469531.1985506816,2486787.5,0.006939194221186384
rw_01,strong_oof_ridge_stack,strong_stack,2158640,6095643.0,4144907.8649204755,4203448.0,0.013926694247085813
rw_02,strong_oof_ridge_stack,strong_stack,2182840,6223295.5,3327204.3880506447,3418647.0,0.026748187791648337
rw_03,strong_oof_ridge_stack,strong_stack,2230272,4993164.5,2877149.7780229542,2903734.5,0.009155355621199401
rw_04,strong_oof_ridge_stack,strong_stack,2220592,6119998.5,4334827.398477104,4382271.5,0.010826372013440166
rw_05,strong_oof_ridge_stack,strong_stack,2236080,4602840.0,2467659.5739451274,2486787.5,0.0076918216996315625
rw_01,gateway_risk_conservative_rls_abs_pred_s100_prediction_residual,residual_correction,2158640,6095643.0,4144755.9288296914,4203448.0,0.013962839832991514
rw_02,gateway_risk_conservative_rls_abs_pred_s100_prediction_residual,residual_correction,2182840,6223295.5,3328116.5270937653,3418647.0,0.026481374914179456
rw_03,gateway_risk_conservative_rls_abs_pred_s100_prediction_residual,residual_correction,2230272,4993164.5,2879191.7502523013,2903734.5,0.008452132847441396
