fold,candidate,family,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
rw_01,tabm_prediction,strong_base,2263184,3378130.25,2579023.75,2620656.75,0.01588648557662964
rw_02,tabm_prediction,strong_base,2233176,4180669.75,4657717.5,4717466.0,0.012665390968322754
rw_03,tabm_prediction,strong_base,2229304,4319461.5,1804330.0,1827235.0,0.012535333633422852
rw_04,tabm_prediction,strong_base,2247696,4716233.5,3069932.75,3110372.5,0.013001561164855957
rw_05,tabm_prediction,strong_base,2178000,4511331.5,4066362.25,4151853.25,0.020591020584106445
rw_01,tree_prediction,strong_base,2263184,3378130.25,2601969.6599057363,2620656.75,0.007130689699924919
rw_02,tree_prediction,strong_base,2233176,4180669.75,4685956.08006287,4717466.0,0.006679416436097263
rw_03,tree_prediction,strong_base,2229304,4319461.5,1811468.289909455,1827235.0,0.008628725966033368
rw_04,tree_prediction,strong_base,2247696,4716233.5,3104561.6679334105,3110372.5,0.0018682109832791616
rw_05,tree_prediction,strong_base,2178000,4511331.5,4125778.1364937043,4151853.25,0.00628035528623172
rw_01,xgboost_prediction,strong_base,2263184,3378130.25,2602236.345320513,2620656.75,0.007028926882350017
rw_02,xgboost_prediction,strong_base,2233176,4180669.75,4680802.353289673,4717466.0,0.007771894214039232
rw_03,xgboost_prediction,strong_base,2229304,4319461.5,1812101.8796861712,1827235.0,0.008281978132987144
rw_04,xgboost_prediction,strong_base,2247696,4716233.5,3156331.720865437,3110372.5,-0.014776114714696309
rw_05,xgboost_prediction,strong_base,2178000,4511331.5,4131639.5290766596,4151853.25,0.0048686019727071095
rw_01,lightgbm_prediction,strong_base,2263184,3378130.25,2600113.9844605057,2620656.75,0.00783878527376558
rw_02,lightgbm_prediction,strong_base,2233176,4180669.75,4686094.427904391,4717466.0,0.006650089708247875
rw_03,lightgbm_prediction,strong_base,2229304,4319461.5,1812076.756589616,1827235.0,0.008295727375178363
rw_04,lightgbm_prediction,strong_base,2247696,4716233.5,3110275.4117437545,3110372.5,0.000031214350128649926
rw_05,lightgbm_prediction,strong_base,2178000,4511331.5,4121873.3633494023,4151853.25,0.007220844486880096
rw_01,ridge_calibrated_prediction,strong_base,2263184,3378130.25,2608539.562740442,2620656.75,0.0046237216146517435
rw_02,ridge_calibrated_prediction,strong_base,2233176,4180669.75,4695891.138744121,4717466.0,0.0045734004772644
rw_03,ridge_calibrated_prediction,strong_base,2229304,4319461.5,1820075.652223986,1827235.0,0.003918131918452694
rw_04,ridge_calibrated_prediction,strong_base,2247696,4716233.5,3100901.47100329,3110372.5,0.0030449822317777375
rw_05,ridge_calibrated_prediction,strong_base,2178000,4511331.5,4127969.391594227,4151853.25,0.005752577696664263
rw_01,baseline_prediction,strong_base,2263184,3378130.25,2579023.7181888698,2620656.75,0.01588648792373526
rw_02,baseline_prediction,strong_base,2233176,4180669.75,4657717.35696632,4717466.0,0.012665410420272138
rw_03,baseline_prediction,strong_base,2229304,4319461.5,1804329.9419071316,1827235.0,0.01253536523373755
rw_04,baseline_prediction,strong_base,2247696,4716233.5,3070051.1760432064,3110372.5,0.012963503232102824
rw_05,baseline_prediction,strong_base,2178000,4511331.5,4066362.1337769474,4151853.25,0.020591073690538697
rw_01,conservative_rls_prediction,strong_base,2263184,3378130.25,2577955.988217268,2620656.75,0.01629391631801147
rw_02,conservative_rls_prediction,strong_base,2233176,4180669.75,4656917.545893462,4717466.0,0.012834952940103395
rw_03,conservative_rls_prediction,strong_base,2229304,4319461.5,1802302.599719953,1827235.0,0.013644878890808787
rw_04,conservative_rls_prediction,strong_base,2247696,4716233.5,3074203.486806774,3110372.5,0.011628514974726056
rw_05,conservative_rls_prediction,strong_base,2178000,4511331.5,4065400.3772496106,4151853.25,0.02082271880644848
rw_01,aggressive_rls_prediction,strong_base,2263184,3378130.25,2577634.4277464375,2620656.75,0.016416618564626062
rw_02,aggressive_rls_prediction,strong_base,2233176,4180669.75,4656741.2896376485,4717466.0,0.012872315425771275
rw_03,aggressive_rls_prediction,strong_base,2229304,4319461.5,1802461.9520206037,1827235.0,0.013557669363489788
rw_04,aggressive_rls_prediction,strong_base,2247696,4716233.5,3070625.97008225,3110372.5,0.012778704131981011
rw_05,aggressive_rls_prediction,strong_base,2178000,4511331.5,4067700.033709775,4151853.25,0.020268832066794418
rw_01,gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,2263184,3378130.25,2578546.4002897325,2620656.75,0.01606862467214276
rw_02,gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,2233176,4180669.75,4657077.749732336,4717466.0,0.012800993217049972
rw_03,gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,2229304,4319461.5,1802456.2483593507,1827235.0,0.013560790834593939
rw_04,gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,2247696,4716233.5,3073872.611567558,3110372.5,0.011734892985467926
rw_05,gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,2178000,4511331.5,4066249.8945698906,4151853.25,0.02061810721034263
rw_01,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,2263184,3378130.25,2578813.7707815003,2620656.75,0.015966600440328493
rw_02,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,2233176,4180669.75,4658181.559430521,4717466.0,0.012567009612677427
rw_03,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,2229304,4319461.5,1802740.4937610927,1827235.0,0.013405230437741888
rw_04,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,2247696,4716233.5,3073167.7419479736,3110372.5,0.01196151202212159
rw_05,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,2178000,4511331.5,4067963.709679549,4151853.25,0.020205324049073936
rw_01,gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,2263184,3378130.25,2577669.31219594,2620656.75,0.016403307225969277
rw_02,gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,2233176,4180669.75,4656708.150200823,4717466.0,0.012879340264281058
