fold,candidate,family,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
rw_01,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,21587,58441.3984375,41185.00116707184,41645.48828125,0.01105731096411433
rw_02,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,21829,61418.890625,31727.589389874407,32352.73046875,0.019322668282339417
rw_03,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,22303,49300.96875,28923.91716339224,29128.4609375,0.00702212775836808
rw_04,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,22206,59943.28125,43993.48516737694,44480.8984375,0.010957810818680414
rw_05,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,22361,46397.88671875,25336.124716170278,25469.482421875,0.005235980201552359
rw_01,latent_alpha_linear_stack,family_alpha,21587,58441.3984375,41534.56433440067,41645.48828125,0.0026635285460027136
rw_02,latent_alpha_linear_stack,family_alpha,21829,61418.890625,32087.64627417389,32352.73046875,0.008193564831634803
rw_03,latent_alpha_linear_stack,family_alpha,22303,49300.96875,29062.52152831912,29128.4609375,0.002263745047236254
rw_04,latent_alpha_linear_stack,family_alpha,22206,59943.28125,44371.93040130997,44480.8984375,0.0024497714753478617
rw_05,latent_alpha_linear_stack,family_alpha,22361,46397.88671875,25445.084391243137,25469.482421875,0.0009579319370427442
rw_01,ridge_rank_alpha10000,family_alpha,21587,58441.3984375,41548.29742425747,41645.48828125,0.0023337667777156845
rw_02,ridge_rank_alpha10000,family_alpha,21829,61418.890625,32047.20119433511,32352.73046875,0.009443693623016003
rw_03,ridge_rank_alpha10000,family_alpha,22303,49300.96875,29074.593270696325,29128.4609375,0.0018493138693204125
rw_04,ridge_rank_alpha10000,family_alpha,22206,59943.28125,44403.642167943406,44480.8984375,0.0017368414818587086
rw_05,ridge_rank_alpha10000,family_alpha,22361,46397.88671875,25476.516819841174,25469.482421875,-0.0002761892781979469
rw_01,strong_family_alpha_stack,strong_family_stack,21587,58441.3984375,41185.00116707184,41645.48828125,0.01105731096411433
rw_02,strong_family_alpha_stack,strong_family_stack,21829,61418.890625,32003.128605444927,32352.73046875,0.010805946151678292
rw_03,strong_family_alpha_stack,strong_family_stack,22303,49300.96875,28966.310552157513,29128.4609375,0.005566733707297766
rw_04,strong_family_alpha_stack,strong_family_stack,22206,59943.28125,44077.41876770415,44480.8984375,0.009070852522522266
rw_05,strong_family_alpha_stack,strong_family_stack,22361,46397.88671875,25366.1193639651,25469.482421875,0.004058310106102692
rw_01,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual,strong_family_residual,21587,58441.3984375,41185.00116707184,41645.48828125,0.01105731096411433
rw_02,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual,strong_family_residual,21829,61418.890625,31698.05542968085,32352.73046875,0.02023554208821754
rw_03,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual,strong_family_residual,22303,49300.96875,28918.458992816624,29128.4609375,0.007209510489894044
rw_04,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual,strong_family_residual,22206,59943.28125,44012.35733056615,44480.8984375,0.010533535144129247
rw_05,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual,strong_family_residual,22361,46397.88671875,25334.38212207253,25469.482421875,0.005304399106533686
rw_01,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_gate_open,strong_family_residual_gate,21587,58441.3984375,41185.00116707184,41645.48828125,0.01105731096411433
rw_02,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_gate_open,strong_family_residual_gate,21829,61418.890625,31727.589389874407,32352.73046875,0.019322668282339417
rw_03,gateway_risk_conservative_rls_abs_pred_s100_prediction_family_residual_gate_open,strong_family_residual_gate,22303,49300.96875,28919.446701814915,29128.4609375,0.007175601763977801
