candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
strong_oof_ridge_stack,strong_stack,551422,1377984.9375,848846.793880113,860919.765625,0.0140155516265015,0.00801919152526509,0.008980401183108383,0.014023341346010798
strong_oof_ridge_stack_prediction_residual,residual_correction,551422,1377984.9375,848934.617607913,860919.765625,0.013910120035660589,0.007955432591907008,0.009007132143430432,0.013921329833084028
fixed_blend_0_w0p75_fixed_blend,fixed_blend,551422,1377984.9375,848951.4701318284,860919.765625,0.013859370370585666,0.00793127775748681,0.008590512066503459,0.013901754810429878
gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,551422,1377984.9375,849021.9332697686,860919.765625,0.013721777641634047,0.0072906473286973306,0.00880071729207575,0.013819908463356012
aggressive_rls_prediction,strong_base,551422,1377984.9375,849039.0284987486,860919.765625,0.013724373329968698,0.007401124775088808,0.008903187345952518,0.01380005152701591
conservative_rls_prediction,strong_base,551422,1377984.9375,849191.7910232779,860919.765625,0.013543552889445132,0.0077520547543769025,0.008322594708470625,0.01362261045686175
gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,551422,1377984.9375,849459.7159158064,860919.765625,0.013195145419356647,0.006932937305808795,0.008240621304971836,0.013311402719246468
baseline_prediction,strong_base,551422,1377984.9375,849757.8011610698,860919.765625,0.01282431829864028,0.006638762603739523,0.008400016161572545,0.012965162271337816
gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,551422,1377984.9375,849870.8274291257,860919.765625,0.012715381477718845,0.0071406652091020595,0.007463743586317668,0.012833876787406773
tabm_prediction,strong_base,551422,1377984.9375,850115.2109375,860919.765625,0.012404000759124756,0.006771385669708252,0.007643780464219679,0.012550013507537816
gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,551422,1377984.9375,850667.6913698601,860919.765625,0.011769228629239303,0.006522528308473108,0.006580552387494123,0.01190828073008321
tabm_s23_aux8_tabm_prediction,strong_base,551422,1377984.9375,851296.5625,860919.765625,0.010937929153442383,0.007430076599121094,0.003674354201856226,0.011177816457743739
tabm_s17_tabm_prediction,strong_base,551422,1377984.9375,851499.1796875,860919.765625,0.010944342613220215,0.008064508438110352,0.00371341774716291,0.010942466782210447
tree_prediction,strong_base,551422,1377984.9375,852982.087671981,860919.765625,0.009272024088656594,0.0046201234051069795,0.007316196441052935,0.009219997344649844
xgboost_prediction,strong_base,551422,1377984.9375,853137.2580336076,860919.765625,0.009006512348935902,0.0033854985610626276,0.007482500197077203,0.009039759455101493
lightgbm_prediction,strong_base,551422,1377984.9375,853192.9912475263,860919.765625,0.008939636481308888,0.0035431226498783275,0.007165162809883797,0.008975022628112561
ridge_calibrated_prediction,strong_base,551422,1377984.9375,857625.6213021696,860919.765625,0.0038911729998243995,0.00266024583728941,0.0011027611222090498,0.0038263081582741165
